                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.06939,                0.99954,                      1,                 4.1886,               0.006733,               0.006733,               0.006733
                     68,                0.07688,                0.99954,                      1,                 4.1885,              0.0066835,              0.0066835,              0.0066835
                     69,                0.07104,                0.99954,                      1,                 4.1885,               0.006634,               0.006634,               0.006634
                     70,                0.07449,                0.99954,                      1,                 4.1885,              0.0065845,              0.0065845,              0.0065845
                     71,                0.08939,                0.99954,                      1,                 4.1885,               0.006535,               0.006535,               0.006535
                     72,                0.07997,                0.99954,                      1,                 4.1885,              0.0064855,              0.0064855,              0.0064855
                     73,                0.07245,                0.99954,                      1,                 4.1885,               0.006436,               0.006436,               0.006436
                     74,                0.06235,                0.99954,                      1,                 4.1885,              0.0063865,              0.0063865,              0.0063865
                     75,                0.07373,                0.99954,                      1,                 4.1885,               0.006337,               0.006337,               0.006337
                     76,                0.07197,                0.99954,                      1,                 4.1885,              0.0062875,              0.0062875,              0.0062875
                     77,                0.07747,                0.99954,                      1,                 4.1884,               0.006238,               0.006238,               0.006238
                     78,                0.05781,                0.99954,                      1,                 4.1884,              0.0061885,              0.0061885,              0.0061885
                     79,                0.07308,                0.99954,                      1,                 4.1884,               0.006139,               0.006139,               0.006139
                     80,                0.05852,                0.99977,                      1,                 4.1885,              0.0060895,              0.0060895,              0.0060895
                     81,                0.06946,                0.99977,                      1,                 4.1885,                0.00604,                0.00604,                0.00604
                     82,                0.06511,                0.99977,                      1,                 4.1885,              0.0059905,              0.0059905,              0.0059905
                     83,                0.06281,                0.99977,                      1,                 4.1885,               0.005941,               0.005941,               0.005941
                     84,                0.05625,                0.99977,                      1,                 4.1885,              0.0058915,              0.0058915,              0.0058915
                     85,                0.06501,                0.99977,                      1,                 4.1885,               0.005842,               0.005842,               0.005842
                     86,                0.05417,                0.99977,                      1,                 4.1884,              0.0057925,              0.0057925,              0.0057925
                     87,                0.07076,                0.99977,                      1,                 4.1884,               0.005743,               0.005743,               0.005743
                     88,                0.06112,                0.99977,                      1,                 4.1884,              0.0056935,              0.0056935,              0.0056935
                     89,                0.05436,                0.99977,                      1,                 4.1883,               0.005644,               0.005644,               0.005644
                     90,                0.06254,                0.99977,                      1,                 4.1884,              0.0055945,              0.0055945,              0.0055945
                     91,                 0.0593,                0.99977,                      1,                 4.1883,               0.005545,               0.005545,               0.005545
                     92,                0.05957,                0.99977,                      1,                 4.1883,              0.0054955,              0.0054955,              0.0054955
                     93,                0.07092,                0.99977,                      1,                 4.1883,               0.005446,               0.005446,               0.005446
                     94,                0.06304,                0.99977,                      1,                 4.1883,              0.0053965,              0.0053965,              0.0053965
                     95,                0.05014,                0.99977,                      1,                 4.1884,               0.005347,               0.005347,               0.005347
                     96,                0.04239,                0.99977,                      1,                 4.1883,              0.0052975,              0.0052975,              0.0052975
